size,nb_bedrooms,nb_floors,price
2104,3,2,399900
1600,3,1,329900
2400,3,2,369000
1416,2,1,232000
3000,4,3,539900
1985,4,1,299900
1534,3,1,314900
1427,3,1,198999
1380,3,1,212000
1494,3,1,242500
1940,4,1,239999
2000,3,2,347000
1890,3,1,329999
4478,5,4,699900
1268,3,1,259900
2300,4,2,449900
1320,2,1,299900
1236,3,1,199900
2609,4,2,499998
3031,4,3,599000
1767,3,1,252900
1888,2,1,255000
1604,3,1,242900
1962,4,1,259900
3890,3,3,573900
1100,3,1,249900
1458,3,1,464500
2526,3,2,469000
2200,3,2,475000
2637,3,2,299900
1839,2,1,349900
1000,1,1,169900
2040,4,2,314900
3137,3,3,579900
1811,4,1,285900
1437,3,1,249900
1239,3,1,229900
2132,4,2,345000
4215,4,4,549000
2162,4,2,287000
1664,2,1,368500
2238,3,2,329900
2567,4,2,314000
1200,3,1,299000
852,2,1,179900
1852,4,1,299900
1203,3,1,239500
